Openness,Conscientiousness,Extraversion,Agreeableness,Emotional Stability,Trait1,Trait2,Trait3,Trait4,Trait5
3.1802506431473905,2.4733672326577443,4.490925917253636,4.259908060254557,3.9238639132173434,Creative and Curious,Moderately Conscientious,Very Sociable and Outgoing,Highly Compassionate and Empathetic,Emotionally Stable and Relaxed
3.563417285548325,1.4481918346665357,1.0958849850346364,0.19060381942072158,0.3007614251184504,Creative and Curious,Carefree and Spontaneous,Reserved and Introverted,Very Assertive and Competitive,Very Anxious and Reactive
4.284700955369053,4.167232383411943,1.8141647358632051,0.6436347512512913,3.2836603098774875,Highly Creative and Imaginative,Highly Disciplined and Organized,Reserved and Introverted,Very Assertive and Competitive,Emotionally Stable and Relaxed
1.7255348910168888,1.1736061313414192,0.4821048782474635,3.3834132470405534,4.824443118327745,Practical and Down-to-Earth,Carefree and Spontaneous,Very Reserved and Shy,Compassionate and Friendly,Very Emotionally Stable and Calm
4.118268750220311,0.7632530342550625,3.323182031122567,3.752984616285064,4.077240711501393,Highly Creative and Imaginative,Impulsive and Disorganized,Sociable and Energetic,Compassionate and Friendly,Very Emotionally Stable and Calm
4.376361486017291,3.8763169099748924,1.8410378733844235,0.9093419533982056,0.9411751390425482,Highly Creative and Imaginative,Disciplined and Responsible,Reserved and Introverted,Very Assertive and Competitive,Very Anxious and Reactive
3.761367834885181,2.467913276979499,2.9385660498905537,2.1547540837724473,1.7236893557412136,Creative and Curious,Moderately Conscientious,Moderately Extraverted,Moderately Agreeable,Anxious and Sensitive
1.7216754438561517,0.08931294103052823,4.00194113389084,2.0452331613303185,2.866028564829409,Practical and Down-to-Earth,Impulsive and Disorganized,Very Sociable and Outgoing,Moderately Agreeable,Moderately Emotionally Stable
0.09109452090859005,1.0155879713239884,2.133857925789794,3.0783905877594075,1.2719527809920335,Conventional and Traditional,Carefree and Spontaneous,Moderately Extraverted,Compassionate and Friendly,Anxious and Sensitive
3.0835751713355193,3.251782152794485,3.489176310756484,0.9452316118040072,1.8783580818453998,Creative and Curious,Disciplined and Responsible,Sociable and Energetic,Very Assertive and Competitive,Anxious and Sensitive
